Date,russell3000_equal_weight
2014-01-02,-0.007486652663934426
2014-01-03,0.004840597336065573
2014-01-06,-0.005447016734972677
2014-01-07,0.009443261864117446
2014-01-08,0.0008103403892113349
2014-01-09,0.002417929668828952
2014-01-10,0.005532415841584159
2014-01-13,-0.012930035823950869
2014-01-14,0.014219600136472194
2014-01-15,0.0069076618901398835
2014-01-16,0.001417828045035824
2014-01-17,-0.0032639648584100994
2014-01-21,0.006003659734060688
2014-01-22,0.00434436481418343
2014-01-23,-0.007915131264916468
2014-01-24,-0.023571884196185288
2014-01-27,-0.01227172838665759
2014-01-28,0.009874149761742683
2014-01-29,-0.012040711027910142
2014-01-30,0.01380748587955087
2014-01-31,-0.007578163549812989
2014-02-03,-0.02899988538487623
2014-02-04,0.006901871864406779
2014-02-05,-0.0071289552542372885
2014-02-06,0.009644677954622417
2014-02-07,0.011810525870815014
2014-02-10,0.004457975329503211
2014-02-11,0.009231493071983779
2014-02-12,0.0029194327248140634
2014-02-13,0.011525010465901419
2014-02-14,0.0016943576248313092
2014-02-18,0.010013158462575859
2014-02-19,-0.009437528995279838
2014-02-20,0.011205369858395145
2014-02-21,0.0020820050556117293
2014-02-24,0.00740837230458221
2014-02-25,-0.0005920013481631278
2014-02-26,0.005551500505561174
2014-02-27,0.007424061678463094
2014-02-28,-0.0030284772497472198
2014-03-03,-0.004453944070080863
2014-03-04,0.0231720673627484
2014-03-05,0.000278983832940384
2014-03-06,0.0014735739306163693
2014-03-07,0.0011295058942404849
2014-03-10,2.794448183041722e-05
2014-03-11,-0.01038578102926337
2014-03-12,0.0026736321452589104
2014-03-13,-0.012088953965053762
2014-03-14,0.0024637355510752686
2014-03-17,0.005978122942559624
2014-03-18,0.012956729348556078
2014-03-19,-0.0051055449966420415
2014-03-20,0.0024440637797918763
2014-03-21,-0.003299269372693727
2014-03-24,-0.012004936034829203
2014-03-25,1.99551239115874e-05
2014-03-26,-0.017428753851306097
2014-03-27,-0.0025482313357884164
2014-03-28,0.0012828877005347595
2014-03-31,0.016698720720720723
2014-04-01,0.012715332109479305
2014-04-02,0.003920314647981315
2014-04-03,-0.009286311770590196
2014-04-04,-0.021292085638120625
2014-04-07,-0.015682644925124792
2014-04-08,0.007093060878243513
2014-04-09,0.014466620425815035
2014-04-10,-0.02562132524110409
2014-04-11,-0.014554474243934861
2014-04-14,0.001879847891066091
2014-04-15,0.0009840056440903054
2014-04-16,0.01170593497013935
2014-04-17,0.005766349353662578
2014-04-21,0.005949699006622517
2014-04-22,0.012084252234359483
2014-04-23,-0.007450558755379013
2014-04-24,-0.002256320423700761
2014-04-25,-0.018093800728235684
2014-04-28,-0.005219293942403177
2014-04-29,0.0032220979483785573
2014-04-30,0.00470324851091992
2014-05-01,-0.0002076303772336202
2014-05-02,-0.00021734005954349985
2014-05-05,-0.0013565188367481824
2014-05-06,-0.014816861533377395
2014-05-07,-0.002873089557171183
2014-05-08,-0.010656104758757437
2014-05-09,0.007927255944517833
2014-05-12,0.021516591479524436
2014-05-13,-0.006867480026411357
2014-05-14,-0.012839982502476066
2014-05-15,-0.007069867326732673
2014-05-16,0.005000652374670184
2014-05-19,0.009050645895153314
2014-05-20,-0.012327500988793672
2014-05-21,0.004887396176664469
2014-05-22,0.008766904746209624
2014-05-23,0.009503382992748846
2014-05-27,0.012975308198880474
